movietitle;gross;budget;duration;titleyear;directorfl;actor1fl;actor2fl;actor3fl;castfl;facenumber_in_poster;genre
10 Days in a Madhouse;14616;12000000;111;2015;0;1000;445;247;2059;1;Drama
12 Years a Slave;56667870;20000000;134;2013;0;2000;660;500;4251;0;Drama
13 Going on 30;56044241;37000000;98;2004;56;3000;2000;533;6742;1;Comedy
21 & Over;25675765;13000000;93;2013;24;552;528;499;2730;0;Comedy
21 Grams;16248701;20000000;124;2003;0;6000;979;430;7567;0;Drama
25th Hour;13060843;15000000;108;2002;0;22000;3000;346;26050;0;Drama
27 Dresses;76806312;30000000;111;2008;98;2000;805;71;2978;1;Comedy
3 Strikes;9821335;6000000;82;2000;69;939;706;585;3354;1;Comedy
30 Days of Night;39568996;32000000;113;2007;171;430;72;63;814;0;Terror
40 Days and 40 Nights;37939782;17000000;96;2002;36;1000;580;486;3294;0;Comedy
50 First Dates;120776832;75000000;99;2004;88;11000;427;328;12952;2;Comedy
8 Mile;116724075;41000000;110;2002;161;1000;418;196;1954;0;Drama
90 Minutes in Heaven;4700361;5000000;121;2015;35;4000;849;473;6617;0;Drama
A Beautiful Mind;170708996;58000000;135;2001;2000;1000;592;535;2827;0;Drama
A Better Life;1754319;10000000;98;2011;129;749;252;221;2214;0;Drama
A Cinderella Story;51431160;20000000;95;2004;15;1000;852;528;3092;2;Comedy
A Guy Thing;15408822;20000000;101;2003;13;651;555;499;2698;3;Comedy
A Haunted House;40041683;2500000;86;2013;89;713;584;555;3421;6;Comedy
A Haunted House 2;17314483;4000000;86;2014;89;986;713;511;4073;2;Comedy
A Home at the End of the World;1029017;6500000;97;2004;15;18000;986;874;21107;2;Drama
A Knight's Tale;56083966;65000000;144;2001;241;13000;3000;996;18761;1;Action
A Million Ways to Die in the West;42615685;40000000;136;2014;3000;14000;9000;3000;28927;3;Comedy
A Single Man;9166863;7000000;99;2009;192;14000;343;292;14816;2;Drama
A Walk to Remember;41227069;11000000;101;2002;163;683;548;488;2436;1;Drama
Aeon Flux;25857987;62000000;93;2005;45;9000;460;352;10185;0;Action
About Last Night;48637684;12500000;100;2014;38;833;807;460;2800;4;Comedy
Across the Universe;24343673;45000000;133;2007;278;5000;117;107;5405;0;Drama
After Earth;60522097;130000000;100;2013;0;10000;943;894;14168;0;Action
Against the Ropes;5881504;39000000;110;2004;534;865;534;511;2972;2;Drama
Alex & Emma;14208384;30000000;96;2003;0;372;206;130;977;2;Comedy
"Alexander and the Terrible; Horrible; No Good; Very Bad Day";66950483;28000000;81;2014;44;35000;7000;3000;47677;6;Comedy
Ali;58183966;107000000;165;2001;0;10000;851;780;14196;1;Drama
Alice in Wonderland;334185206;200000000;108;2010;13000;40000;25000;11000;79957;0;Action
Alice Through the Looking Glass;76846624;170000000;113;2016;33;40000;25000;11000;80806;1;Action
All About Steve;33860010;15000000;99;2009;3;14000;982;628;16461;3;Comedy
All the Pretty Horses;15527125;57000000;220;2000;0;13000;861;820;15006;2;Drama
All the Real Girls;548712;2500000;108;2003;234;11000;552;463;12385;0;Drama
Along Came Polly;87856565;42000000;90;2004;29;22000;923;650;24534;1;Comedy
Alvin and the Chipmunks;217326336;60000000;92;2007;25;1000;718;639;2847;0;Comedy
Alvin and the Chipmunks: The Squeakquel;219613391;75000000;88;2009;84;1000;1000;1000;5227;0;Comedy
American Dreamz;7156725;19000000;107;2006;80;2000;2000;841;5992;6;Comedy
American Gangster;130127620;100000000;176;2007;0;18000;782;561;20354;0;Drama
American Hustle;150117807;40000000;138;2013;737;34000;23000;14000;83012;5;Drama
American Outlaws;13264986;35000000;94;2001;10;694;605;141;1668;2;Action
American Pie 2;145096820;30000000;108;2001;6;3000;1000;1000;7872;0;Comedy
American Psycho;15047419;7000000;102;2000;126;23000;1000;517;25462;1;Drama
American Reunion;56724080;50000000;113;2012;22;3000;1000;1000;8398;7;Comedy
American Wedding;104354205;55000000;74;2003;58;3000;864;729;5713;3;Comedy
America's Sweethearts;93607673;48000000;102;2001;148;8000;973;135;9176;4;Comedy
Amigo;183490;1700000;124;2010;407;38;8;7;60;0;Drama
