State;Period;Month;Weekday;Hour;Sights
MA;1;1;2;H06-11;1
MA;1;1;2;H18-23;2
MA;1;1;3;H12-17;1
MA;1;1;3;H00-05;1
MA;1;1;3;H06-11;3
MA;1;1;3;H18-23;1
MA;1;1;4;H00-05;1
MA;1;1;4;H18-23;1
MA;1;1;5;H12-17;1
MA;1;1;5;H18-23;4
MA;1;1;6;H12-17;1
MA;1;1;6;H00-05;3
MA;1;1;6;H06-11;1
MA;1;1;7;H18-23;2
MA;1;2;1;H00-05;1
MA;1;2;2;H12-17;1
MA;1;2;2;H06-11;1
MA;1;2;2;H18-23;3
MA;1;2;3;H18-23;4
MA;1;2;6;H18-23;2
MA;1;3;1;H18-23;2
MA;1;3;2;H00-05;1
MA;1;3;3;H12-17;1
MA;1;3;3;H06-11;1
MA;1;3;4;H00-05;1
MA;1;3;4;H06-11;1
MA;1;3;4;H18-23;2
MA;1;3;5;H18-23;2
MA;1;3;6;H00-05;1
MA;1;3;6;H06-11;1
MA;1;3;6;H18-23;3
MA;1;3;7;H06-11;1
MA;1;4;1;H18-23;2
MA;1;4;3;H18-23;2
MA;1;4;4;H12-17;1
MA;1;4;4;H06-11;1
MA;1;4;4;H18-23;1
MA;1;4;5;H18-23;2
MA;1;4;6;H12-17;1
MA;1;4;7;H00-05;1
MA;1;4;7;H06-11;1
MA;1;5;1;H00-05;1
MA;1;5;2;H00-05;1
MA;1;5;2;H18-23;3
MA;1;5;3;H18-23;3
MA;1;5;4;H12-17;1
MA;1;5;4;H00-05;1
MA;1;5;4;H18-23;2
MA;1;5;6;H06-11;1
MA;1;5;7;H12-17;3
MA;1;5;7;H18-23;2
MA;1;6;1;H12-17;2
MA;1;6;1;H18-23;1
MA;1;6;2;H06-11;1
MA;1;6;2;H18-23;3
MA;1;6;4;H18-23;1
MA;1;6;5;H18-23;2
MA;1;6;6;H18-23;3
MA;1;6;7;H12-17;1
MA;1;6;7;H00-05;1
MA;1;6;7;H18-23;1
MA;1;7;1;H18-23;3
MA;1;7;2;H00-05;3
MA;1;7;2;H18-23;1
MA;1;7;3;H12-17;1
MA;1;7;4;H00-05;1
MA;1;7;5;H00-05;1
MA;1;7;6;H18-23;2
MA;1;7;7;H00-05;1
MA;1;7;7;H18-23;1
MA;1;8;1;H00-05;1
MA;1;8;1;H18-23;2
MA;1;8;2;H00-05;1
MA;1;8;2;H06-11;2
MA;1;8;2;H18-23;1
MA;1;8;3;H12-17;2
MA;1;8;3;H00-05;2
MA;1;8;3;H18-23;1
MA;1;8;4;H12-17;1
MA;1;8;4;H18-23;1
MA;1;8;5;H00-05;1
MA;1;8;5;H18-23;3
MA;1;8;6;H00-05;1
MA;1;8;6;H06-11;1
MA;1;8;6;H18-23;1
MA;1;8;7;H12-17;1
MA;1;8;7;H00-05;2
MA;1;9;1;H12-17;2
MA;1;9;1;H18-23;2
MA;1;9;2;H18-23;4
MA;1;9;3;H00-05;1
MA;1;9;3;H18-23;1
MA;1;9;4;H12-17;2
MA;1;9;4;H00-05;2
MA;1;9;4;H18-23;3
MA;1;9;5;H12-17;1
MA;1;9;5;H18-23;1
MA;1;9;6;H12-17;1
MA;1;9;6;H18-23;1
MA;1;9;7;H12-17;1
MA;1;9;7;H06-11;2
MA;1;9;7;H18-23;4
MA;1;10;1;H12-17;1
MA;1;10;1;H18-23;1
MA;1;10;2;H12-17;1
MA;1;10;3;H18-23;4
MA;1;10;4;H00-05;1
MA;1;10;4;H18-23;2
MA;1;10;5;H00-05;1
MA;1;10;6;H18-23;1
MA;1;10;7;H12-17;2
MA;1;10;7;H06-11;1
MA;1;11;1;H12-17;1
MA;1;11;1;H00-05;5
MA;1;11;2;H00-05;1
MA;1;11;2;H18-23;2
MA;1;11;3;H12-17;1
MA;1;11;3;H00-05;1
MA;1;11;3;H06-11;1
MA;1;11;3;H18-23;2
MA;1;11;4;H00-05;2
MA;1;11;4;H18-23;1
MA;1;11;5;H18-23;3
MA;1;11;6;H12-17;1
MA;1;11;6;H00-05;1
MA;1;11;6;H06-11;1
MA;1;11;6;H18-23;3
MA;1;11;7;H12-17;3
MA;1;11;7;H18-23;1
MA;1;12;1;H12-17;2
MA;1;12;1;H18-23;1
MA;1;12;2;H12-17;2
MA;1;12;2;H00-05;1
MA;1;12;2;H06-11;1
MA;1;12;2;H18-23;1
MA;1;12;3;H00-05;1
MA;1;12;3;H18-23;1
MA;1;12;4;H18-23;1
MA;1;12;6;H12-17;1
MA;1;12;6;H18-23;3
MA;1;12;7;H00-05;1
MA;1;12;7;H06-11;1
MA;1;12;7;H18-23;1
MA;2;1;1;H06-11;1
MA;2;1;1;H18-23;1
MA;2;1;2;H12-17;1
MA;2;1;3;H00-05;6
MA;2;1;3;H18-23;1
MA;2;1;4;H12-17;1
MA;2;1;4;H00-05;1
MA;2;1;4;H18-23;4
MA;2;1;5;H12-17;1
MA;2;1;5;H00-05;1
MA;2;1;5;H06-11;1
MA;2;1;5;H18-23;3
MA;2;1;6;H12-17;1
MA;2;1;6;H18-23;1
MA;2;1;7;H12-17;1
MA;2;1;7;H18-23;1
MA;2;2;1;H12-17;1
MA;2;2;1;H18-23;2
MA;2;2;2;H18-23;2
MA;2;2;3;H00-05;1
MA;2;2;3;H18-23;2
MA;2;2;4;H00-05;2
MA;2;2;4;H18-23;3
MA;2;2;5;H06-11;1
MA;2;2;5;H18-23;4
MA;2;2;6;H12-17;1
MA;2;2;6;H18-23;1
MA;2;2;7;H12-17;1
MA;2;2;7;H18-23;1
MA;2;3;1;H18-23;2
MA;2;3;2;H18-23;1
MA;2;3;3;H12-17;1
MA;2;3;3;H18-23;1
MA;2;3;4;H18-23;3
MA;2;3;5;H00-05;3
MA;2;3;5;H18-23;1
MA;2;3;6;H00-05;1
MA;2;3;6;H18-23;1
MA;2;3;7;H18-23;2
MA;2;4;1;H12-17;2
MA;2;4;1;H00-05;1
MA;2;4;1;H18-23;1
MA;2;4;2;H18-23;5
MA;2;4;4;H00-05;2
MA;2;4;4;H18-23;1
MA;2;4;5;H12-17;1
MA;2;4;5;H00-05;1
MA;2;4;5;H18-23;4
MA;2;4;6;H12-17;1
MA;2;4;6;H00-05;2
MA;2;4;6;H18-23;3
MA;2;4;7;H12-17;2
MA;2;4;7;H18-23;3
MA;2;5;1;H00-05;1
MA;2;5;1;H06-11;2
MA;2;5;1;H18-23;1
MA;2;5;2;H12-17;1
MA;2;5;2;H00-05;1
MA;2;5;2;H06-11;2
